epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0025,1.23974,5.11543,1.14953,0.39377,0.52998,0.43895,0.36168,0.69513,1.9665,0.82175,0.00016464,0.00016464,0.00016464
2,53.8626,0.90786,2.05541,0.94687,0.71101,0.67744,0.70611,0.55137,0.7858,1.77717,0.92243,0.000326865,0.000326865,0.000326865
3,70.4478,1.00563,1.58899,1.01744,0.87376,0.4905,0.5908,0.47323,0.84549,1.60225,0.92623,0.000480649,0.000480649,0.000480649
4,87.5733,0.99173,1.2394,1.00797,0.77212,0.57459,0.73308,0.5604,0.76949,1.44225,0.92888,0.000544341,0.000544341,0.000544341
5,104.351,0.96632,1.0414,0.99557,0.84863,0.73283,0.80181,0.61735,0.87768,1.14996,0.96182,0.000529788,0.000529788,0.000529788
6,121.146,0.93699,0.92793,0.99989,0.86806,0.55059,0.72581,0.59861,0.76965,1.16644,0.90339,0.000515235,0.000515235,0.000515235
7,138.569,0.89232,0.88744,0.9743,0.83493,0.57136,0.69241,0.55209,0.67471,1.63116,0.90816,0.000500682,0.000500682,0.000500682
8,155.301,0.89014,0.86029,0.97366,0.74472,0.83425,0.87731,0.6878,0.71018,0.83568,0.89245,0.000486129,0.000486129,0.000486129
9,172.077,0.82393,0.77221,0.9543,0.75299,0.71395,0.79078,0.64213,0.74758,0.90343,0.92513,0.000471576,0.000471576,0.000471576
10,189.431,0.87929,0.76723,0.97131,0.91354,0.68079,0.85759,0.65793,0.76649,0.83886,0.9184,0.000457023,0.000457023,0.000457023
11,206.158,0.81139,0.71446,0.94848,0.91832,0.80471,0.88542,0.74689,0.65641,0.77273,0.88604,0.00044247,0.00044247,0.00044247
12,223.073,0.82265,0.70929,0.95032,0.88037,0.8254,0.88368,0.7468,0.6145,0.72815,0.86808,0.000427917,0.000427917,0.000427917
13,240.616,0.80253,0.65336,0.96154,0.82453,0.72074,0.83188,0.68584,0.67094,0.87872,0.89332,0.000413364,0.000413364,0.000413364
14,257.386,0.77787,0.60219,0.9342,0.90442,0.65644,0.81039,0.67793,0.6388,0.65765,0.86828,0.000398811,0.000398811,0.000398811
15,274.213,0.72513,0.608,0.91608,0.90244,0.80005,0.90643,0.77034,0.59104,0.65456,0.86423,0.000384258,0.000384258,0.000384258
16,291.597,0.70879,0.56033,0.91044,0.87744,0.87579,0.89074,0.76438,0.57825,0.73273,0.87205,0.000369705,0.000369705,0.000369705
17,308.465,0.69664,0.5486,0.90394,0.92907,0.78711,0.88226,0.75619,0.60579,0.85422,0.85718,0.000355152,0.000355152,0.000355152
18,325.187,0.70187,0.53134,0.90404,0.93062,0.79437,0.88423,0.76367,0.63339,0.75248,0.88724,0.000340599,0.000340599,0.000340599
19,342.238,0.72877,0.52031,0.91425,0.83685,0.71806,0.88629,0.76789,0.59823,0.69397,0.86548,0.000326046,0.000326046,0.000326046
20,359.382,0.67785,0.48947,0.90406,0.8995,0.77898,0.90422,0.77041,0.54685,0.65987,0.84283,0.000311493,0.000311493,0.000311493
21,376.235,0.70056,0.5055,0.91194,0.93858,0.70405,0.86649,0.73192,0.55826,0.74038,0.85303,0.00029694,0.00029694,0.00029694
22,393.534,0.64688,0.48883,0.90953,0.97038,0.77554,0.92749,0.79256,0.51296,0.56981,0.85416,0.000282387,0.000282387,0.000282387
23,410.726,0.62442,0.47878,0.90256,0.90449,0.75174,0.90868,0.79224,0.52026,0.53357,0.84087,0.000267834,0.000267834,0.000267834
24,427.449,0.63144,0.43749,0.89398,0.92841,0.7758,0.89465,0.77451,0.49272,0.57956,0.83478,0.000253281,0.000253281,0.000253281
25,444.672,0.64152,0.45185,0.8987,0.88743,0.73006,0.90777,0.77475,0.46806,0.65506,0.83213,0.000238728,0.000238728,0.000238728
26,461.462,0.60863,0.47214,0.87554,0.86159,0.8045,0.89579,0.78616,0.49665,0.69132,0.82649,0.000224175,0.000224175,0.000224175
27,478.189,0.62095,0.44126,0.8881,0.87699,0.82039,0.92844,0.82101,0.48777,0.5537,0.8288,0.000209622,0.000209622,0.000209622
28,495.445,0.58875,0.41453,0.89109,0.88977,0.85932,0.92454,0.80932,0.46889,0.56029,0.82159,0.000195069,0.000195069,0.000195069
29,512.372,0.59246,0.44877,0.88835,0.90234,0.83798,0.9171,0.81475,0.48884,0.52613,0.83526,0.000180516,0.000180516,0.000180516
30,529.191,0.57207,0.41066,0.88174,0.9683,0.75705,0.88547,0.7742,0.47525,0.5809,0.82872,0.000165963,0.000165963,0.000165963
31,548.08,0.54224,0.43106,0.88752,0.84465,0.88792,0.90545,0.81235,0.43914,0.60413,0.82111,0.00015141,0.00015141,0.00015141
32,564.744,0.52361,0.36488,0.87644,0.96281,0.81919,0.91333,0.84232,0.43264,0.62676,0.82415,0.000136857,0.000136857,0.000136857
33,581.443,0.52535,0.36539,0.87677,0.9496,0.83447,0.89829,0.79828,0.4545,0.66864,0.82603,0.000122304,0.000122304,0.000122304
34,598.483,0.50127,0.35177,0.86473,0.84309,0.84826,0.89819,0.80742,0.46266,0.6402,0.82636,0.000107751,0.000107751,0.000107751
35,615.523,0.49042,0.34778,0.87733,0.83852,0.86543,0.90666,0.80963,0.42453,0.68923,0.81855,9.3198e-05,9.3198e-05,9.3198e-05
36,632.334,0.4677,0.32495,0.85394,0.88109,0.85981,0.91631,0.81508,0.44613,0.67141,0.81699,7.8645e-05,7.8645e-05,7.8645e-05
